Territorio;Medida;Valor;
Jaén;Confirmados PDIA;113110;
Jaén;Confirmados PDIA 14 días;243;
Jaén;Tasa PDIA 14 días;0;
Jaén;Confirmados PDIA 7 días;0;
Jaén;Tasa PDIA 7 dias;0;
Jaén;Total Confirmados ;113676;
Jaén;Curados;111053;
Jaén;Fallecidos;1318;
Jaén Sur;Confirmados PDIA;14890;
Jaén Sur;Confirmados PDIA 14 días;49;
Jaén Sur;Tasa PDIA 14 días;0;
Jaén Sur;Confirmados PDIA 7 días;0;
Jaén Sur;Tasa PDIA 7 dias;0;
Jaén Sur;Total Confirmados ;14943;
Jaén Sur;Curados;14580;
Jaén Sur;Fallecidos;195;
Alcalá la Real;Confirmados PDIA;3819;
Alcalá la Real;Confirmados PDIA 14 días;11;
Alcalá la Real;Tasa PDIA 14 días;0;
Alcalá la Real;Confirmados PDIA 7 días;0;
Alcalá la Real;Tasa PDIA 7 dias;0;
Alcalá la Real;Total Confirmados ;3826;
Alcalá la Real;Curados;3719;
Alcalá la Real;Fallecidos;61;
Alcaudete;Confirmados PDIA;1494;
Alcaudete;Confirmados PDIA 14 días;2;
Alcaudete;Tasa PDIA 14 días;0;
Alcaudete;Confirmados PDIA 7 días;0;
Alcaudete;Tasa PDIA 7 dias;0;
Alcaudete;Total Confirmados ;1497;
Alcaudete;Curados;1453;
Alcaudete;Fallecidos;28;
Castillo de Locubín;Confirmados PDIA;645;
Castillo de Locubín;Confirmados PDIA 14 días;1;
Castillo de Locubín;Tasa PDIA 14 días;0;
Castillo de Locubín;Confirmados PDIA 7 días;0;
Castillo de Locubín;Tasa PDIA 7 dias;0;
Castillo de Locubín;Total Confirmados ;649;
Castillo de Locubín;Curados;635;
Castillo de Locubín;Fallecidos;13;
Frailes;Confirmados PDIA;324;
Frailes;Confirmados PDIA 14 días;0;
Frailes;Tasa PDIA 14 días;0;
Frailes;Confirmados PDIA 7 días;0;
Frailes;Tasa PDIA 7 dias;0;
Frailes;Total Confirmados ;324;
Frailes;Curados;317;
Frailes;Fallecidos;4;
Fuensanta de Martos;Confirmados PDIA;420;
Fuensanta de Martos;Confirmados PDIA 14 días;1;
Fuensanta de Martos;Tasa PDIA 14 días;0;
Fuensanta de Martos;Confirmados PDIA 7 días;0;
Fuensanta de Martos;Tasa PDIA 7 dias;0;
Fuensanta de Martos;Total Confirmados ;421;
Fuensanta de Martos;Curados;410;
Fuensanta de Martos;Fallecidos;4;
Higuera de Calatrava;Confirmados PDIA;110;
Higuera de Calatrava;Confirmados PDIA 14 días;1;
Higuera de Calatrava;Tasa PDIA 14 días;0;
Higuera de Calatrava;Confirmados PDIA 7 días;0;
Higuera de Calatrava;Tasa PDIA 7 dias;0;
Higuera de Calatrava;Total Confirmados ;110;
Higuera de Calatrava;Curados;109;
Higuera de Calatrava;Fallecidos;0;
Lopera;Confirmados PDIA;661;
Lopera;Confirmados PDIA 14 días;0;
Lopera;Tasa PDIA 14 días;0;
Lopera;Confirmados PDIA 7 días;0;
Lopera;Tasa PDIA 7 dias;0;
Lopera;Total Confirmados ;664;
Lopera;Curados;655;
Lopera;Fallecidos;5;
Martos;Confirmados PDIA;3817;
Martos;Confirmados PDIA 14 días;10;
Martos;Tasa PDIA 14 días;0;
Martos;Confirmados PDIA 7 días;0;
Martos;Tasa PDIA 7 dias;0;
Martos;Total Confirmados ;3832;
Martos;Curados;3752;
Martos;Fallecidos;37;
Porcuna;Confirmados PDIA;787;
Porcuna;Confirmados PDIA 14 días;3;
Porcuna;Tasa PDIA 14 días;0;
Porcuna;Confirmados PDIA 7 días;0;
Porcuna;Tasa PDIA 7 dias;0;
Porcuna;Total Confirmados ;793;
Porcuna;Curados;763;
Porcuna;Fallecidos;20;
Santiago de Calatrava;Confirmados PDIA;58;
Santiago de Calatrava;Confirmados PDIA 14 días;0;
Santiago de Calatrava;Tasa PDIA 14 días;0;
Santiago de Calatrava;Confirmados PDIA 7 días;0;
Santiago de Calatrava;Tasa PDIA 7 dias;0;
Santiago de Calatrava;Total Confirmados ;58;
Santiago de Calatrava;Curados;58;
Santiago de Calatrava;Fallecidos;0;
Torredonjimeno;Confirmados PDIA;2620;
Torredonjimeno;Confirmados PDIA 14 días;20;
Torredonjimeno;Tasa PDIA 14 días;0;
Torredonjimeno;Confirmados PDIA 7 días;0;
Torredonjimeno;Tasa PDIA 7 dias;0;
Torredonjimeno;Total Confirmados ;2633;
Torredonjimeno;Curados;2576;
Torredonjimeno;Fallecidos;21;
Villardompardo;Confirmados PDIA;135;
Villardompardo;Confirmados PDIA 14 días;0;
Villardompardo;Tasa PDIA 14 días;0;
Villardompardo;Confirmados PDIA 7 días;0;
Villardompardo;Tasa PDIA 7 dias;0;
Villardompardo;Total Confirmados ;136;
Villardompardo;Curados;133;
Villardompardo;Fallecidos;2;
Jaén (distrito);Confirmados PDIA;40361;
Jaén (distrito);Confirmados PDIA 14 días;96;
Jaén (distrito);Tasa PDIA 14 días;0;
Jaén (distrito);Confirmados PDIA 7 días;0;
Jaén (distrito);Tasa PDIA 7 dias;0;
Jaén (distrito);Total Confirmados ;40607;
Jaén (distrito);Curados;39883;
Jaén (distrito);Fallecidos;442;
Albanchez de Mágina;Confirmados PDIA;153;
Albanchez de Mágina;Confirmados PDIA 14 días;0;
