Territorio;Medida;Valor;
Granada;Confirmados PDIA;173521;
Granada;Confirmados PDIA 14 días;0;
Granada;Tasa PDIA 14 días;0;
Granada;Confirmados PDIA 7 días;0;
Granada;Tasa PDIA 7 dias;0;
Granada;Total Confirmados ;174362;
Granada;Curados;169730;
Granada;Fallecidos;2116;
Granada Sur;Confirmados PDIA;19017;
Granada Sur;Confirmados PDIA 14 días;0;
Granada Sur;Tasa PDIA 14 días;0;
Granada Sur;Confirmados PDIA 7 días;0;
Granada Sur;Tasa PDIA 7 dias;0;
Granada Sur;Total Confirmados ;19045;
Granada Sur;Curados;18574;
Granada Sur;Fallecidos;165;
Albondón;Confirmados PDIA;53;
Albondón;Confirmados PDIA 14 días;0;
Albondón;Tasa PDIA 14 días;0;
Albondón;Confirmados PDIA 7 días;0;
Albondón;Tasa PDIA 7 dias;0;
Albondón;Total Confirmados ;53;
Albondón;Curados;51;
Albondón;Fallecidos;1;
Albuñol;Confirmados PDIA;943;
Albuñol;Confirmados PDIA 14 días;0;
Albuñol;Tasa PDIA 14 días;0;
Albuñol;Confirmados PDIA 7 días;0;
Albuñol;Tasa PDIA 7 dias;0;
Albuñol;Total Confirmados ;943;
Albuñol;Curados;925;
Albuñol;Fallecidos;7;
Almegíjar;Confirmados PDIA;27;
Almegíjar;Confirmados PDIA 14 días;0;
Almegíjar;Tasa PDIA 14 días;0;
Almegíjar;Confirmados PDIA 7 días;0;
Almegíjar;Tasa PDIA 7 dias;0;
Almegíjar;Total Confirmados ;27;
Almegíjar;Curados;26;
Almegíjar;Fallecidos;1;
Almuñécar;Confirmados PDIA;2967;
Almuñécar;Confirmados PDIA 14 días;0;
Almuñécar;Tasa PDIA 14 días;0;
Almuñécar;Confirmados PDIA 7 días;0;
Almuñécar;Tasa PDIA 7 dias;0;
Almuñécar;Total Confirmados ;2971;
Almuñécar;Curados;2891;
Almuñécar;Fallecidos;21;
Alpujarra de la Sierra;Confirmados PDIA;68;
Alpujarra de la Sierra;Confirmados PDIA 14 días;0;
Alpujarra de la Sierra;Tasa PDIA 14 días;0;
Alpujarra de la Sierra;Confirmados PDIA 7 días;0;
Alpujarra de la Sierra;Tasa PDIA 7 dias;0;
Alpujarra de la Sierra;Total Confirmados ;69;
Alpujarra de la Sierra;Curados;67;
Alpujarra de la Sierra;Fallecidos;2;
Bérchules;Confirmados PDIA;84;
Bérchules;Confirmados PDIA 14 días;0;
Bérchules;Tasa PDIA 14 días;0;
Bérchules;Confirmados PDIA 7 días;0;
Bérchules;Tasa PDIA 7 dias;0;
Bérchules;Total Confirmados ;84;
Bérchules;Curados;83;
Bérchules;Fallecidos;0;
Bubión;Confirmados PDIA;40;
Bubión;Confirmados PDIA 14 días;0;
Bubión;Tasa PDIA 14 días;0;
Bubión;Confirmados PDIA 7 días;0;
Bubión;Tasa PDIA 7 dias;0;
Bubión;Total Confirmados ;40;
Bubión;Curados;39;
Bubión;Fallecidos;1;
Busquístar;Confirmados PDIA;68;
Busquístar;Confirmados PDIA 14 días;0;
Busquístar;Tasa PDIA 14 días;0;
Busquístar;Confirmados PDIA 7 días;0;
Busquístar;Tasa PDIA 7 dias;0;
Busquístar;Total Confirmados ;68;
Busquístar;Curados;65;
Busquístar;Fallecidos;2;
Cádiar;Confirmados PDIA;159;
Cádiar;Confirmados PDIA 14 días;0;
Cádiar;Tasa PDIA 14 días;0;
Cádiar;Confirmados PDIA 7 días;0;
Cádiar;Tasa PDIA 7 dias;0;
Cádiar;Total Confirmados ;159;
Cádiar;Curados;158;
Cádiar;Fallecidos;0;
Cáñar;Confirmados PDIA;43;
Cáñar;Confirmados PDIA 14 días;0;
Cáñar;Tasa PDIA 14 días;0;
Cáñar;Confirmados PDIA 7 días;0;
Cáñar;Tasa PDIA 7 dias;0;
Cáñar;Total Confirmados ;43;
Cáñar;Curados;43;
Cáñar;Fallecidos;0;
Capileira;Confirmados PDIA;77;
Capileira;Confirmados PDIA 14 días;0;
Capileira;Tasa PDIA 14 días;0;
Capileira;Confirmados PDIA 7 días;0;
Capileira;Tasa PDIA 7 dias;0;
Capileira;Total Confirmados ;77;
Capileira;Curados;77;
Capileira;Fallecidos;0;
Carataunas;Confirmados PDIA;9;
Carataunas;Confirmados PDIA 14 días;0;
Carataunas;Tasa PDIA 14 días;0;
Carataunas;Confirmados PDIA 7 días;0;
Carataunas;Tasa PDIA 7 dias;0;
Carataunas;Total Confirmados ;9;
Carataunas;Curados;9;
Carataunas;Fallecidos;0;
Cástaras;Confirmados PDIA;2;
Cástaras;Confirmados PDIA 14 días;0;
Cástaras;Tasa PDIA 14 días;0;
Cástaras;Confirmados PDIA 7 días;0;
Cástaras;Tasa PDIA 7 dias;0;
Cástaras;Total Confirmados ;2;
Cástaras;Curados;2;
Cástaras;Fallecidos;0;
Guájares (Los);Confirmados PDIA;57;
Guájares (Los);Confirmados PDIA 14 días;0;
Guájares (Los);Tasa PDIA 14 días;0;
Guájares (Los);Confirmados PDIA 7 días;0;
Guájares (Los);Tasa PDIA 7 dias;0;
Guájares (Los);Total Confirmados ;58;
Guájares (Los);Curados;56;
Guájares (Los);Fallecidos;0;
Gualchos;Confirmados PDIA;722;
Gualchos;Confirmados PDIA 14 días;0;
Gualchos;Tasa PDIA 14 días;0;
Gualchos;Confirmados PDIA 7 días;0;
Gualchos;Tasa PDIA 7 dias;0;
Gualchos;Total Confirmados ;723;
Gualchos;Curados;705;
Gualchos;Fallecidos;7;
Ítrabo;Confirmados PDIA;69;
Ítrabo;Confirmados PDIA 14 días;0;
Ítrabo;Tasa PDIA 14 días;0;
Ítrabo;Confirmados PDIA 7 días;0;
Ítrabo;Tasa PDIA 7 dias;0;
Ítrabo;Total Confirmados ;69;
Ítrabo;Curados;67;
Ítrabo;Fallecidos;0;
Jete;Confirmados PDIA;40;
Jete;Confirmados PDIA 14 días;0;
Jete;Tasa PDIA 14 días;0;
Jete;Confirmados PDIA 7 días;0;
Jete;Tasa PDIA 7 dias;0;
Jete;Total Confirmados ;40;
Jete;Curados;40;
Jete;Fallecidos;0;
Juviles;Confirmados PDIA;10;
Juviles;Confirmados PDIA 14 días;0;
Juviles;Tasa PDIA 14 días;0;
Juviles;Confirmados PDIA 7 días;0;
Juviles;Tasa PDIA 7 dias;0;
Juviles;Total Confirmados ;10;
Juviles;Curados;10;
Juviles;Fallecidos;0;
Lanjarón;Confirmados PDIA;440;
Lanjarón;Confirmados PDIA 14 días;0;
Lanjarón;Tasa PDIA 14 días;0;
Lanjarón;Confirmados PDIA 7 días;0;
Lanjarón;Tasa PDIA 7 dias;0;
Lanjarón;Total Confirmados ;440;
Lanjarón;Curados;424;
Lanjarón;Fallecidos;7;
Lentegí;Confirmados PDIA;31;
Lentegí;Confirmados PDIA 14 días;0;
Lentegí;Tasa PDIA 14 días;0;
Lentegí;Confirmados PDIA 7 días;0;
Lentegí;Tasa PDIA 7 dias;0;
Lentegí;Total Confirmados ;31;
Lentegí;Curados;31;
Lentegí;Fallecidos;0;
Lobras;Confirmados PDIA;6;
Lobras;Confirmados PDIA 14 días;0;
Lobras;Tasa PDIA 14 días;0;
Lobras;Confirmados PDIA 7 días;0;
Lobras;Tasa PDIA 7 dias;0;
Lobras;Total Confirmados ;6;
Lobras;Curados;6;
Lobras;Fallecidos;0;
Lújar;Confirmados PDIA;29;
Lújar;Confirmados PDIA 14 días;0;
Lújar;Tasa PDIA 14 días;0;
Lújar;Confirmados PDIA 7 días;0;
Lújar;Tasa PDIA 7 dias;0;
Lújar;Total Confirmados ;29;
Lújar;Curados;29;
Lújar;Fallecidos;0;
Molvízar;Confirmados PDIA;264;
Molvízar;Confirmados PDIA 14 días;0;
Molvízar;Tasa PDIA 14 días;0;
Molvízar;Confirmados PDIA 7 días;0;
Molvízar;Tasa PDIA 7 dias;0;
Molvízar;Total Confirmados ;265;
Molvízar;Curados;259;
